Creating dir `./slack_dump_pdfs/` for slack dump PDFs
11  new PDFs loaded, skipped 0
         23862625 function calls (23302544 primitive calls) in 16.103 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2707/2703    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
     2689    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     2689    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     2689    0.007    0.000    0.456    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     3782    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
     2786    0.009    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     8067    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:866(is_package)
     2690    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:874(create_module)
  2690/21    0.007    0.000    3.611    0.172 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:885(load_module)
     2690    0.021    0.000    0.631    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      347    0.001    0.000    0.003    0.000 <frozen zipimport>:64(__init__)
       46    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
      127    0.000    0.000    0.003    0.000 <string>:1(__init__)
       54    0.000    0.000    0.027    0.001 <string>:1(__new__)
       35    0.000    0.000    0.000    0.000 <string>:1(_begin)
  329/259    0.000    0.000    0.008    0.000 <string>:1(_connection_for_bind)
        2    0.000    0.000    0.000    0.000 <string>:1(_generated_cache_key_traversal)
       96    0.000    0.000    0.000    0.000 <string>:1(_generated_copy_internals_traversal)
       10    0.000    0.000    0.000    0.000 <string>:1(_generated_get_children_traversal)
    82/47    0.000    0.000    0.046    0.001 <string>:1(_prepare_impl)
       82    0.000    0.000    0.004    0.000 <string>:1(close)
    82/47    0.000    0.000    0.520    0.011 <string>:1(commit)
       70    0.000    0.000    0.003    0.000 <string>:1(connection)
      127    0.000    0.000    0.056    0.000 <string>:1(create_engine)
        1    0.000    0.000    0.000    0.000 <string>:1(declarative_base)
      736    0.001    0.000    0.106    0.000 <string>:1(has_table)
       92    0.000    0.000    0.003    0.000 <string>:1(select_from)
      136    0.000    0.000    0.000    0.000 <string>:1(set)
      144    0.000    0.000    0.001    0.000 <string>:1(unique)
        8    0.000    0.000    0.000    0.000 <string>:1(where)
       84    0.000    0.000    0.000    0.000 <string>:2(__hash__)
       22    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:350(_SelectorContext)
        1    0.000    0.000    0.002    0.002 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
